Path Difference (microns),Errors,Vmax,error in V max,V min,Errror in Vmin,
0,,4.762,91.62,3.968,56.11,
200,,5.234,215.6,3.615,181.2,
400,,5.222,179.1,3.607,130,
600,,5.032,174.4,3.611,170.6,
700,,5.686,63.71,2.952,107,
800,,6.155,342.2,2.369,200,
900,,7.222,35.25,1.44,29.07,
1000,,7.698,217.3,1.012,107.5,
1100,,7.841,100.2,0.7022,85.77,
1200,,7.726,39.88,0.853,46.59,
1300,,7.54,217.5,1.131,232.2,
1400,,6.869,78.4,1.798,72.24,
1500,,6.393,116.3,2.282,106.5,
1600,,6.012,177,2.666,149,
1700,,5.881,128.5,3.044,151.2,
1800,,5.772,167.9,3.357,124.7,
1900,,5.214,236.2,3.575,226.6,
2000,,4.936,281,3.817,155.1,
2100,,5.206,277.6,3.948,124.2,
2200,,5.492,131,3.762,86.92,
2300,,5.567,260.7,3.73,163,
2400,,5.686,238.7,3.567,167.2,
2500,,6.008,227.5,3.528,119.3,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
path difference,fringe contrast,,,,,
0,0.090950745,,,,,
200,0.182958526,,,,,
400,0.182919923,,,,,
600,0.164410506,,,,,
700,0.316508451,,,,,
800,0.444157672,,,,,
900,0.667513276,,,,,
1000,0.767623421,,,,,
1100,0.835611949,,,,,
1200,0.801142324,,,,,
1300,0.739130435,,,,,
1400,0.585092881,,,,,
1500,0.47389049,,,,,
1600,0.385572713,,,,,
1700,0.317871148,,,,,
1800,0.264541571,,,,,
1900,0.186483104,,,,,
2000,0.127841883,,,,,
2100,0.137426262,,,,,
2200,0.186946185,,,,,
2300,0.197590621,,,,,
2400,0.229006809,,,,,
2500,0.260067114,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
SLD,,,,,,
,,,,,,
,,,,,,
,,,,,,
Path Difference (microns),Errors,Vmax,error in V max,V min,Errror in Vmin,S(delta)
17000,,3.123,27.61,2.976,18.65,0.024102312
17050,,3.101,14.53,2.982,14.52,0.019562716
17100,,3.095,16,2.988,18.65,0.017590005
17150,,3.135,0,2.944,14.53,0.031419641
17200,,3.135,0,2.936,0,0.032778784
17250,,3.123,17.63,2.976,0,0.024102312
17300,,3.135,12.21,2.981,12.21,0.025179856
17350,,3.095,0,3.016,14.28,0.012927508
17400,,3.202,19.41,2.897,0,0.050008198
17450,,3.119,19.41,2.976,0,0.023461854
17500,,3.099,12.21,2.992,18.65,0.017566902
17550,,3.095,0,3.002,19.41,0.015253403
17600,,3.282,21.66,2.807,16.28,0.078009525
17630,,4.794,121.5,1.184,99.29,0.603880897
17640,,5.543,35.42,0.4682,59.13,0.844224115
17650,,5.738,40.7,0.2579,32.58,0.913974549
17660,,5.547,0,0.554,0,0.818390428
17670,,4.794,54.61,1.27,0,0.581134565
17700,,3.329,0,2.698,14.2,0.104695537
17750,,3.095,0,2.948,20.07,0.024325666
17800,,3.095,0,3.004,32.56,0.014920479
17850,,3.095,0,2.964,37.31,0.021620729
17900,,3.095,0,2.936,0,0.026363787
17950,,3.095,0,3,29.07,0.015586546
18000,,3.095,0,2.936,0,0.026363787
18050,,3.175,0,2.857,0,0.052718833
18100,,3.095,0,2.94,17.74,0.025683513
18150,,3.095,0,2.948,29.07,0.024325666
18200,,3.095,0,2.936,11.2,0.026363787
,,,,,,
path difference,fringe contrast,,,,,
0,0.024102312,,,,,
50,0.019562716,,,,,
100,0.017590005,,,,,
150,0.031419641,,,,,
200,0.032778784,,,,,
250,0.024102312,,,,,
300,0.025179856,,,,,
350,0.012927508,,,,,
400,0.050008198,,,,,
450,0.023461854,,,,,
500,0.017566902,,,,,
550,0.015253403,,,,,
600,0.078009525,,,,,
630,0.603880897,,,,,
640,0.844224115,,,,,
650,0.913974549,,,,,
660,0.818390428,,,,,
670,0.581134565,,,,,
700,0.104695537,,,,,
750,0.024325666,,,,,
800,0.014920479,,,,,
850,0.021620729,,,,,
900,0.026363787,,,,,
950,0.015586546,,,,,
1000,0.026363787,,,,,
1050,0.052718833,,,,,
1100,0.025683513,,,,,
1150,0.024325666,,,,,
1200,0.026363787,,,,,